"Observed.cutyhat","Observed.Var2","Observed.Freq","Expected.cutyhat","Expected.Var2","Expected.Freq","Observed_Positive","Expected_Positive"
"[0.103,0.313]","y0",4893,"[0.103,0.313]","yhat0",4864.44449386755,1657,1685.55550613245
"(0.313,0.378]","y0",4263,"(0.313,0.378]","yhat0",4275.74678073964,2287,2274.25321926036
"(0.378,0.429]","y0",3911,"(0.378,0.429]","yhat0",3902.40627520039,2639,2647.59372479961
"(0.429,0.474]","y0",3578,"(0.429,0.474]","yhat0",3590.46873013249,2971,2958.53126986751
"(0.474,0.518]","y0",3325,"(0.474,0.518]","yhat0",3302.21914456797,3225,3247.78085543203
"(0.518,0.56]","y0",2998,"(0.518,0.56]","yhat0",3022.20212402589,3552,3527.79787597411
"(0.56,0.604]","y0",2741,"(0.56,0.604]","yhat0",2740.98031291421,3808,3808.01968708579
"(0.604,0.653]","y0",2426,"(0.604,0.653]","yhat0",2438.86519811997,4124,4111.13480188003
"(0.653,0.712]","y0",2029,"(0.653,0.712]","yhat0",2089.84504675802,4521,4460.15495324198
"(0.712,0.921]","y0",1470,"(0.712,0.921]","yhat0",1548.42257044192,5080,5001.57742955808
"[0.103,0.313]","y1",1657,"[0.103,0.313]","yhat1",1685.55550613245,1657,1685.55550613245
"(0.313,0.378]","y1",2287,"(0.313,0.378]","yhat1",2274.25321926036,2287,2274.25321926036
"(0.378,0.429]","y1",2639,"(0.378,0.429]","yhat1",2647.59372479961,2639,2647.59372479961
"(0.429,0.474]","y1",2971,"(0.429,0.474]","yhat1",2958.53126986751,2971,2958.53126986751
"(0.474,0.518]","y1",3225,"(0.474,0.518]","yhat1",3247.78085543203,3225,3247.78085543203
"(0.518,0.56]","y1",3552,"(0.518,0.56]","yhat1",3527.79787597411,3552,3527.79787597411
"(0.56,0.604]","y1",3808,"(0.56,0.604]","yhat1",3808.01968708579,3808,3808.01968708579
"(0.604,0.653]","y1",4124,"(0.604,0.653]","yhat1",4111.13480188003,4124,4111.13480188003
"(0.653,0.712]","y1",4521,"(0.653,0.712]","yhat1",4460.15495324198,4521,4460.15495324198
"(0.712,0.921]","y1",5080,"(0.712,0.921]","yhat1",5001.57742955808,5080,5001.57742955808
