"Group","Observed","Expected","Observed_Positive","Expected_Positive"
1,1639,1692.72286023728,1639,1692.72286023728
2,2348,2280.03572378964,2348,2280.03572378964
3,2597,2650.14460037736,2597,2650.14460037736
4,2990,2962.94170997671,2990,2962.94170997671
5,3268,3250.93755761273,3268,3250.93755761273
6,3494,3528.75880093429,3494,3528.75880093429
7,3817,3808.96510051087,3817,3808.96510051087
8,4100,4109.56726519055,4100,4109.56726519055
9,4547,4456.94749589019,4547,4456.94749589019
10,5064,5000.52088181109,5064,5000.52088181109
