"Observed.cutyhat","Observed.Var2","Observed.Freq","Expected.cutyhat","Expected.Var2","Expected.Freq","Observed_Positive","Expected_Positive"
"[0.0859,0.298]","y0",3337,"[0.0859,0.298]","yhat0",3377.83280409004,1108,1067.16719590996
"(0.298,0.365]","y0",2984,"(0.298,0.365]","yhat0",2963.00827255069,1460,1480.99172744931
"(0.365,0.419]","y0",2680,"(0.365,0.419]","yhat0",2698.1374287424,1764,1745.8625712576
"(0.419,0.468]","y0",2484,"(0.419,0.468]","yhat0",2473.43084503429,1960,1970.56915496571
"(0.468,0.514]","y0",2287,"(0.468,0.514]","yhat0",2262.47579492843,2157,2181.52420507157
"(0.514,0.559]","y0",2063,"(0.514,0.559]","yhat0",2061.51655600773,2381,2382.48344399227
"(0.559,0.606]","y0",1864,"(0.559,0.606]","yhat0",1857.22166539314,2580,2586.77833460686
"(0.606,0.657]","y0",1694,"(0.606,0.657]","yhat0",1639.94200384023,2750,2804.05799615977
"(0.657,0.722]","y0",1382,"(0.657,0.722]","yhat0",1387.00550305087,3062,3056.99449694913
"(0.722,0.919]","y0",989,"(0.722,0.919]","yhat0",1003.03718411859,3455,3440.96281588141
"[0.0859,0.298]","y1",1108,"[0.0859,0.298]","yhat1",1067.16719590996,1108,1067.16719590996
"(0.298,0.365]","y1",1460,"(0.298,0.365]","yhat1",1480.99172744931,1460,1480.99172744931
"(0.365,0.419]","y1",1764,"(0.365,0.419]","yhat1",1745.8625712576,1764,1745.8625712576
"(0.419,0.468]","y1",1960,"(0.419,0.468]","yhat1",1970.56915496571,1960,1970.56915496571
"(0.468,0.514]","y1",2157,"(0.468,0.514]","yhat1",2181.52420507157,2157,2181.52420507157
"(0.514,0.559]","y1",2381,"(0.514,0.559]","yhat1",2382.48344399227,2381,2382.48344399227
"(0.559,0.606]","y1",2580,"(0.559,0.606]","yhat1",2586.77833460686,2580,2586.77833460686
"(0.606,0.657]","y1",2750,"(0.606,0.657]","yhat1",2804.05799615977,2750,2804.05799615977
"(0.657,0.722]","y1",3062,"(0.657,0.722]","yhat1",3056.99449694913,3062,3056.99449694913
"(0.722,0.919]","y1",3455,"(0.722,0.919]","yhat1",3440.96281588141,3455,3440.96281588141
